model,d_model,d_state,lr,seed,params,best_val_acc,steps_to_best
B2,48,0,0.003,2,15082,0.9995,1200
B2,64,0,0.003,0,26250,1.0,1000
B2,64,0,0.003,1,26250,1.0,1000
B2,64,0,0.003,2,26250,1.0,1200
B2,96,0,0.003,0,57802,1.0,600
B2,96,0,0.003,1,57802,1.0,800
B2,96,0,0.003,2,57802,1.0,600
B2,128,0,0.003,0,101642,1.0,600
B2,128,0,0.003,1,101642,1.0,600
B2,128,0,0.003,2,101642,1.0,600
